created_at,bill_no,date,bill_to,product,qty,desc,notes
2026-01-24,6918,2026-01-23,FRESH PRODUCE & DATES CO,LARGE CLAMSHELL 1LB,64,FOR ABDUL BASIT,SOFT 4MC X 16 1 PIECE ; ga ada produk 2024
2026-01-24,6917,2026-01-23,OM PRODUCE,JUMBO MEDJOOL 11LBS,200,PALLET ID: 25632,WHITE TOP
2026-01-24,6917,2026-01-23,OM PRODUCE,FANCY MEDJOOL 2LBS,1024,PALLET ID: 25861,WHITE TOP 64MC X 16
2026-01-24,6917,2026-01-23,OM PRODUCE,FANCY MEDJOOL 2LBS,1024,PALLET ID: 25862,WHITE TOP 64MC X 16
2026-01-24,6917,2026-01-23,OM PRODUCE,FANCY MEDJOOL 2LBS,1024,PALLET ID: 25869,WHITE TOP 64MC X 16
2026-01-24,6917,2026-01-23,OM PRODUCE,FANCY MEDJOOL 2LBS,1024,PALLET ID: 25870,WHITE TOP 64MC X 16
2026-01-24,6916,2026-01-23,NEW ROYAL DISTRIBUTORS,JUMBO CHOICE 11LBS,200,PALLET ID: 25536,GRAY TOP
2026-01-24,6916,2026-01-23,NEW ROYAL DISTRIBUTORS,LARGE SOFT 4LBS,448,PALLET ID: 25726,WHITE TOP
2026-01-24,6916,2026-01-23,NEW ROYAL DISTRIBUTORS,LARGE SOFT 4LBS,448,PALLET ID: 25732,WHITE TOP
2026-01-24,6916,2026-01-23,NEW ROYAL DISTRIBUTORS,FANCY SOFT 11LBS,200,PALLET ID: 25749,WHITE TOP
2026-01-24,6916,2026-01-23,NEW ROYAL DISTRIBUTORS,FANCY SOFT 11LBS,200,PALLET ID: 25798,WHITE TOP
2026-01-24,6916,2026-01-23,NEW ROYAL DISTRIBUTORS,JUMBO SOFT 4LBS,448,PALLET ID: 25748,ORGANIC WHITE TOP
2026-01-24,6916,2026-01-23,NEW ROYAL DISTRIBUTORS,JUMBO MEDJOOL 11LBS,200,PALLET ID: 25775,WHITE TOP


2026-01-23,1448,2026-01-23,Blue Nile Halal Foods,Madina Dates 12x2lb,176,, 
2026-01-23,1448,2026-01-23,Blue Nile Halal Foods,Ajwa Dates 800 gm x 8,1,,
2026-01-23,1448,2026-01-23,Blue Nile Halal Foods,ZamZam,83,,

2026-01-21,6914,2026-01-21,JASMINE MARKET & CAFE,FANCY YT MEDJOOL 4LBS,510,PALLET: 25846,ROYAL BURGUNDY TOP ;kedua produk tidak tersedia cuma ada 11lb
2026-01-21,6914,2026-01-21,JASMINE MARKET & CAFE,FANCY YT MEDJOOL 2LBS,800,PALLET: 25859,40MC X 20 BURGUNDY TOP


2026-01-23,1445,2026-01-23,Mediterranean Market,Madina Dates 12x2lb,88,,
2026-01-23,1445,2026-01-23,Mediterranean Market,Ajwa Dates 800 gm x 8,80,,
2026-01-23,1445,2026-01-23,Mediterranean Market,Safawi 12x800 gm,40,,

2026-01-23,1445,2026-01-23,Mediterranean Market,Sukkary Mofatal 4x3kg,60,,
2026-01-23,1445,2026-01-23,Mediterranean Market,Deglet Noor Branched Dates 12x1kg,72,,
2026-01-23,1445,2026-01-23,Mediterranean Market,Medjool Dates 4 lb,447,,


2026-01-23,1447,2026-01-23,Fresh & Dates Distributors,Mabroom Dates 12x1,60,,
2026-01-23,1447,2026-01-23,Fresh & Dates Distributors,Mabroom 12x800 gm,210,,
2026-01-23,1447,2026-01-23,Fresh & Dates Distributors,Ajwa 12x800 gm,140,,
2026-01-23,1447,2026-01-23,Fresh & Dates Distributors,Sukkary Mofatal 4x3kg,140,,

2026-01-23,C1-231065,2026-01-23,Fresh & Dates Distributors,NS IQF DEGLET DATES NOUR W/BRANCH 12/1KG,720,,

2026-01-23,1446,2026-01-23,Osari Trading,Ajwa Dates 800 gm x 8,240,,
2026-01-23,1446,2026-01-23,Osari Trading,Madina Dates 12x2lb,176,,
2026-01-23,1446,2026-01-23,Osari Trading,Sukkary Mofatal 800 gm,60,,
