pallet_id,product_name,qty,bill_to,date,bol_number
25368,CRYSTALIZED MEDJOOL 4LBS,322,FRESH PRODUCE,2025-09-01,6814
25370,CRYSTALIZED MEDJOOL 4LBS,30,FRESH PRODUCE,2025-09-02,6815
25371,CHOICE MEDJOOL 11LBS,1,FRESH PRODUCE,2025-09-02,6815
25376,CRYSTALIZED MEDJOOL 4LBS,9,FRESH PRODUCE,2025-09-04,6819
25377,FANCY MEDJOOL 4LBS,6,FRESH PRODUCE,2025-09-04,6819
25374,CRYSTALIZED MEDJOOL 4LBS,19,FRESH PRODUCE,2025-09-03,6818
25375,FANCY MEDJOOL 4LBS,1,FRESH PRODUCE,2025-09-03,6818
25379,CHOICE MEDJOOL 11LBS,1,FRESH PRODUCE,2025-09-05,6820
25379,FANCY MEDJOOL 4LBS,3,FRESH PRODUCE,2025-09-05,6820
25383,FANCY MEDJOOL 11LBS,39,FRESH PRODUCE,2025-09-09,6822
25384,CHOICE MEDJOOL 11LBS,53,FRESH PRODUCE,2025-09-09,6822
25384,SELECT MEDJOOL 11LBS,6,FRESH PRODUCE,2025-09-09,6822
25382,LARGE MEDJOOL 11LBS,1,FRESH PRODUCE,2025-09-09,6822
25385,FANCY MEDJOOL 11LBS,3,FRESH PRODUCE,2025-09-10,6823
25388,FANCY MEDJOOL 11LBS,2,FRESH PRODUCE,2025-09-11,6824
25388,CRYSTALIZED MEDJOOL 4LBS,21,FRESH PRODUCE,2025-09-11,6824
25390,CHOICE MEDJOOL 11LBS,5,FRESH PRODUCE,2025-09-11,6824
25391,LARGE MEDJOOL 11LBS,2,FRESH PRODUCE,2025-09-12,6825
25391,CRYSTALIZED MEDJOOL 4LBS,69,FRESH PRODUCE,2025-09-12,6825
25393,CRYSTALIZED MEDJOOL 4LBS,44,FRESH PRODUCE,2025-09-12,6825
25496,LARGE MEDJOOL 11LBS,73,FANCY MEDJOOL 25LBS,2025-10-30,6842
25496,FANCY MEDJOOL 11LBS,28,FANCY MEDJOOL 25LBS,2025-10-30,6842
25496,S-JUMBO MEDJOOL 11LBS,5,FANCY MEDJOOL 25LBS,2025-10-30,6842
25540,FANCY MEDJOOL 25LBS,96,THE JEWEL DATE COMPANY,2026-01-07,6883
25525,FANCY MEDJOOL 25LBS,96,THE JEWEL DATE COMPANY,2026-01-07,6883
25640,FANCY MEDJOOL 25LBS,96,THE JEWEL DATE COMPANY,2026-01-07,6883
25641,FANCY MEDJOOL 25LBS,96,THE JEWEL DATE COMPANY,2026-01-07,6883
25651,FANCY MEDJOOL 25LBS,96,THE JEWEL DATE COMPANY,2026-01-07,6883
25495,FANCY MEDJOOL 25LBS,96,THE JEWEL DATE COMPANY,2026-01-07,6883
25689,FANCY MEDJOOL 25LBS,96,THE JEWEL DATE COMPANY,2026-01-07,6883
25725,FANCY MEDJOOL 25LBS,96,THE JEWEL DATE COMPANY,2026-01-07,6883
25380,FANCY MEDJOOL 11LBS,4,FRESH PRODUCE,2026-09-08,6821
25380,CHOICE MEDJOOL 11LBS,10,FRESH PRODUCE,2026-09-08,6821
25300,YELLOW TAIL MEDJOOL 2LBS,896,FRESH PRODUCE,2025-09-01,6774
25262,XXFANCY MEDJOOL 2LBS,800,FRESH PRODUCE,2025-09-01,6774
25342,XFANCY MEDJOOL 11LBS,200,BEST FRESH PRODUCE,2025-08-16,6773
25343,XFANCY MEDJOOL 11LBS,200,BEST FRESH PRODUCE,2025-08-16,6773
